DB;Schema;TableLabel;ID
MA_NorthWindDB;dbo;[Order Details];0
MA_NorthWindDB;dbo;Categories;1
MA_NorthWindDB;dbo;Categories_Extract;2
MA_NorthWindDB;dbo;Customers;3
MA_NorthWindDB;dbo;Customers_Extract;4
MA_NorthWindDB;dbo;Employees;5
MA_NorthWindDB;dbo;Employees_Extract;6
MA_NorthWindDB;dbo;EmployeeTerritories;7
MA_NorthWindDB;dbo;EmployeeTerritories_Extract;8
MA_NorthWindDB;dbo;Order_Details_Order_AGGR;9
MA_NorthWindDB;dbo;Order_Details_Product_AGGR;10
MA_NorthWindDB;dbo;Order_Details_Extract;11
MA_NorthWindDB;dbo;Order_Details_1996_Extract;12
MA_NorthWindDB;dbo;Order_Details_1997_Extract;13
MA_NorthWindDB;dbo;Order_Details_1998_Extract;14
MA_NorthWindDB;dbo;Orders;15
MA_NorthWindDB;dbo;Orders_1996_Extract;16
MA_NorthWindDB;dbo;Orders_1997_Extract;17
MA_NorthWindDB;dbo;Orders_1998_Extract;18
MA_NorthWindDB;dbo;Orders_Extract;19
MA_NorthWindDB;dbo;Products;20
MA_NorthWindDB;dbo;Products_Extract;21
MA_NorthWindDB;dbo;Region;22
MA_NorthWindDB;dbo;Region_Extract;23
MA_NorthWindDB;dbo;Shippers;24
MA_NorthWindDB;dbo;Shippers_Extract;25
MA_NorthWindDB;dbo;Suppliers;26
MA_NorthWindDB;dbo;Suppliers_Extract;27
MA_NorthWindDB;dbo;Territories;28
MA_NorthWindDB;dbo;Territories_Extract;29